song,artist,year,genre,numUnique,totalWords,love_words,god_words,dance_words,cool_words,rock_words,swear_words,cw1,cwc1,cw2,cwc2,cw3,cwc3,cw4,cwc4,cw5,cwc5
I Walk the Line,Johnny Cash,1956,country,82,194,1,0,0,0,0,0,keep,8,walk,5,line,4,day,3,close,2
Brown Eyed Girl,Van Morrison,1967,folk,109,273,1,0,0,0,0,2,brown,6,eyed,6,girl,6,bit,6,sha,5
Blueberry Hill,Fats Domino,1956,blues,49,109,2,0,0,0,0,0,blueberry,5,hill,4,thrill,3,still,3,found,2
Planet Rock,Afrika Bambaataa & The Soulsonic Force,1982,hip hop,866,1317,18,1,3,1,3,4,love,15,jackson,8,michael,5,never,5,life,5
Crazy,Patsy Cline,1961,rock,45,105,5,0,0,0,0,0,crazy,12,love,3,feeling,2,worry,2,thinking,2
Bo Diddley,Bo Diddley,1955,blues,67,113,0,0,0,0,0,0,diddley,5,baby,4,ring,3,pretty,3,diamond,2
Subterranean Homesick Blues,Bob Dylan,1965,folk,208,348,0,1,1,0,0,0,get,10,look,4,kid,4,better,4,keep,3
Mr. Brightside,The Killers,2004,rock,103,324,0,0,0,0,0,0,kiss,6,got,4,calling,4,taking,4,sick,4
People Get Ready,The Impressions,1965,r&b,74,160,1,0,0,0,0,0,need,6,get,5,people,3,ready,3,train,3
Virginia Plain,Roxy Music,1972,rock,143,234,0,0,1,0,0,0,make,7,try,4,throw,3,show,2,time,2
Runaway,Del Shannon,1961,rock,66,176,2,0,0,0,0,0,run,16,wonder,7,runaway,5,walk,2,love,2
Baba O'Riley,The Who,1971,rock,68,113,0,0,0,0,0,0,yeah,6,teenage,5,wasteland,5,get,3,fight,2
Go Your Own Way,Fleetwood Mac,1976,rock,57,184,1,0,0,0,0,0,go,14,way,13,another,6,lonely,6,day,6
Two Weeks,FKA Twigs,2014,pop,104,364,4,0,0,0,0,8,high,19,open,13,mouth,12,like,6,know,5
(White Man) In Hammersmith Palais,The Clash,1978,rock,176,268,0,0,0,1,3,1,got,4,lookin,3,fun,3,1,2,2,2
(Don't Fear) The Reaper,Blue Öyster Cult,1976,rock,101,271,1,0,0,0,0,0,fear,9,reaper,8,baby,8,like,6,gone,3
Penny Lane,The Beatles,1967,rock,107,240,0,0,0,0,0,1,penny,8,lane,8,back,4,ears,4,eyes,4
